Name,Started,County,Location,AcresBurned,PercentContained,Longitude,Latitude,Year,ExtinguishedTime
Cashe Fire ,2019-11-25 12:02:02+00:00,Yolo,"County Road 102 and County Road 17, North of Woodland",4297.726568589988,99.91242829827915,-121.729691,38.734634,2019,1571.0967359767892
Cave Fire,2019-11-25 19:59:12+00:00,Santa Barbara,Highway 154 and E Camino Cielo near Painted Cave in the Los Padres National Forest,3126.0,100.0,-119.785,34.5025,2019,444.38
Bear Fire ,2020-02-15 17:48:27+00:00,Humboldt,"Bear Creek Road and Anderson Ford Road, Northwest of Highway 36 at Dinsmore",15.0,100.0,-123.6378411,40.511092,2020,1571.0967359767892
Antelope Fire,2020-02-17 15:04:08+00:00,Sierra,"Hwy 49 and Fillippini Road, Sierraville",102.0,100.0,-120.3291855,39.6923001,2020,71.6
Beegum Fire,2020-02-23 08:35:30+00:00,Tehama,"Off of Highway 36 West and Tedoc Rd, West of Red Bluff",75.0,100.0,-122.84722222,40.33583333,2020,29.94
Wood Fire,2020-02-23 17:50:20+00:00,Lassen,"Off Horselake Road and Woodranch Road, East of Susanville",57.0,100.0,-120.49392,40.62155,2020,-3.09
Baseball Fire,2020-02-25 14:17:21+00:00,Mendocino,"Off Atchison Creek, East of Covelo",211.0,100.0,-122.94111111,39.75638899,2020,165.06
Grizzly Fire,2020-03-02 14:08:05+00:00,Glenn,"Grizzly Flat Recreation Area, west of Orland",154.0,100.0,-122.384532,39.774968,2020,65.3
Mann Fire,2020-03-03 11:13:50+00:00,Riverside,"Santa Ana Riverbottom near California Ave and Grulla Ct,  South of Jurupa Valley ",180.0,100.0,-117.51793,33.96957,2020,1571.0967359767892
Baker Fire,2020-03-03 15:20:43+00:00,Yuba,"Near Bullards Bar Reservoir, West of Camptonville ",4297.726568589988,99.91242829827915,-121.12381,39.45493,2020,1571.0967359767892
South Main Fire,2020-03-06 12:44:00+00:00,Riverside,"Off South Main Divide & Hacienda Rd, El Cariso",20.0,100.0,-117.40906,33.65263,2020,1571.0967359767892
Carter Fire ,2020-04-04 20:22:08+00:00,Imperial,"Off Austin Road  and Weaver Road, South of Brawley",275.0,100.0,-115.5865,32.93432,2020,185.48
Red Fire ,2020-04-23 20:52:04+00:00,Tehama,"Red Bank Road, Southwest of Red Bluff",26.0,100.0,-122.43905,40.09554,2020,13.02
Bar Fire,2020-04-25 14:59:00+00:00,Trinity,Bar K Rd & Shady Creek Lane in Douglas City,55.0,100.0,-122.97693,40.63442,2020,1571.0967359767892
Byron Fire,2020-04-27 14:59:04+00:00,Contra Costa,"Byron Highway and Bruns Ave, southeast of Byron",47.0,100.0,-121.595225,37.82066,2020,5.57
Interstate 5 Fire,2020-05-03 15:52:04+00:00,Kings,"Interstate 5 & Avenal Cutoff, south of Fresno County line",2060.0,100.0,-120.106407,36.075003,2020,-2.35
Hollister Fire,2020-05-07 08:10:19+00:00,Santa Barbara,"Hollister Ranch, West of Goleta in Gaviota",156.0,100.0,-120.29379,34.474380000000004,2020,53.66
Candy Fire,2020-05-08 14:46:20+00:00,Butte,"Candy Cane Ln and Apache Hill Rd, west of Palermo",17.0,100.0,-121.47273,39.42208,2020,0.58
Gilman Fire,2020-05-18 13:38:14+00:00,Riverside,"Gilman Springs Road and Slegers Street, Southeast of Moreno Valley",20.0,100.0,-117.024114,33.861054,2020,4.55
Acres Fire,2020-05-21 11:30:00+00:00,Madera,Near Road 602 and Road 603,152.0,100.0,-119.982359,37.11715,2020,1571.0967359767892
Spanish Fire ,2020-05-22 15:27:09+00:00,Napa,"Spanish Valley Trail and Stagecoach Canyon, Northwest of Lake Berryessa",20.0,100.0,-122.403634,38.697834,2020,22.55
Range Fire,2020-05-27 19:33:55+00:00,San Luis Obispo,Range M22 Camp Roberts Military Reserve,5000.0,100.0,-120.70524,35.34237,2020,11.18
Harley Fire,2020-05-28 17:08:59+00:00,Riverside,"19000 Block of Gustin Road, East of Lake Mathews",60.0,100.0,-117.34934,33.83167,2020,3.35
Creek Fire,2020-05-30 17:48:59+00:00,Contra Costa,"Round Valley Regional Park,  southwest of  Brentwood in Contra Costa County",60.0,50.0,-86.8616,35.9994,2020,1571.0967359767892
Scorpion Fire,2020-05-31 18:09:09+00:00,Santa Barbara,Scorpion Valley on Santa Cruz Island in Santa Barbara county,1395.0,100.0,-119.74577,34.01389,2020,1571.0967359767892
Acres Fire,2020-06-01 15:29:05+00:00,Madera,"Road 600 and Road 603,",237.0,100.0,-119.93221,37.11806,2020,1571.0967359767892
Amoruso Fire,2020-06-01 15:52:43+00:00,Placer,"Sunset Blvd West and Amoruso Way, southwest of Lincoln",670.0,100.0,-121.390862,38.824371,2020,1571.0967359767892
Nash Fire,2020-06-01 17:41:59+00:00,Mendocino,Nash Mill Rd and Big Meadow Rd,10.0,100.0,-123.48018,39.1296,2020,1571.0967359767892
Horn Fire ,2020-06-02 17:01:52+00:00,Lassen,"Horn Road and Mail Route Road, east of Ravendale in Lassen County. ",37.0,100.0,-120.288882,40.809323,2020,1.52
Smoketree Fire,2020-06-02 19:38:16+00:00,Riverside,East Murray Canyon Dr and S Toledo Ave,129.0,100.0,-116.524014,33.782532,2020,108.93
Wildlife Fire,2020-06-03 18:26:25+00:00,Solano,Kellogg St and Maple St,300.0,100.0,-122.042199,38.232281,2020,14.99
Silver Fire,2020-06-04 07:38:05+00:00,Santa Clara,"Dutch Flat Trail, East of San Jose",19.0,100.0,-121.726223,37.329163,2020,1571.0967359767892
Brock Fire,2020-06-04 16:36:17+00:00,Shasta,"Lake Shasta, West of Round Mountain",15.0,100.0,-122.097933,40.837885,2020,-9.1
Colleen Fire,2020-06-04 19:36:47+00:00,Santa Clara,"Colleen Dr, South San Jose",126.0,100.0,-121.851895,37.229703,2020,60.09
Karchner Fire,2020-06-05 09:04:00+00:00,Placer,"Karchner Road and Riosa Road, East of Wheatland",39.0,100.0,-121.340239,38.98487,2020,3.47
Lakeville Fire,2020-06-05 16:56:55+00:00,Sonoma,"Lakeville Highway and Stage Gulch Road, Southeast of Petaluma",141.0,100.0,-122.549816,38.224849,2020,25.67
McGary Fire ,2020-06-05 17:09:00+00:00,Solano,"McGary Road and Highway 80, Southwest of Cordelia",79.0,100.0,-122.156313,38.196893,2020,-1.98
Gulch Fire,2020-06-06 16:19:20+00:00,Sonoma,"Stage Gulch Road and  Lakeville Highway, North of Lakeville",107.0,100.0,-122.536406,38.216134,2020,50.18
Quail Fire,2020-06-06 16:36:26+00:00,Solano,"Quail Canyon Road and Pleasants Valley Road, Southwest of Winters",1837.0,100.0,-122.038208,38.470809,2020,87.19
Willow Fire ,2020-06-06 18:00:51+00:00,Contra Costa,"Willow Pass Court and Evora Road, Northeast of Concord",100.0,100.0,-122.002811,37.994368,2020,13.85
Bitterwater Fire,2020-06-07 14:43:51+00:00,Monterey,"off Bitterwater road, northeast of King City in Monterey County. ",211.0,100.0,-121.0781,36.2644,2020,1571.0967359767892
Hunters Fire,2020-06-07 19:15:00+00:00,Mariposa, Hunters Valley Road and Detwiler Road in Mariposa County. ,85.0,100.0,-120.215454,37.61955,2020,59.8
Sperry Fire,2020-06-08 13:55:53+00:00,Stanislaus,"Diablo Grande Parkway and Del Puerto Canyon Road, West of Patterson",80.0,100.0,-121.16483,37.463636,2020,4.77
Grand Fire,2020-06-08 15:45:17+00:00,Riverside,"S Main Divide Road near DeCariso Road, West of Lake Elsinore ",27.0,100.0,-117.37581,33.638067,2020,18.1
Bradley Fire ,2020-06-08 16:16:07+00:00,Monterey,"Sargents Canyon and Alvardo Road, North of Bradley",230.0,100.0,-120.81509,35.94979,2020,20.13
Sierra Fire,2020-06-08 17:46:04+00:00,Riverside, La Sierra Avenue and Cajalco Road,100.0,100.0,-117.46036,33.82925,2020,24.98
Oak Fire,2020-06-08 20:50:06+00:00,Riverside," 45000 Block of Castile Canyon Road, East of San Jacinto in Riverside County is 15 acres.",20.0,100.0,-116.89655,33.78275,2020,-0.07
Vineyard Fire ,2020-06-09 15:22:55+00:00,Mendocino,"Highway 128 and Elkhorn Road, South of Yorkville",151.0,100.0,-123.21318,38.89695,2020,27.57
India Fire,2020-06-09 21:51:40+00:00,San Diego,"Roblar Rd and Basilone Rd, Camp Pendleton Marine Corps Base",1100.0,100.0,-117.47166,33.37579,2020,59.52
Elizabeth Fire,2020-06-10 13:11:26+00:00,Ventura,"Elizabeth and Foothill Rd, north of Ventura   ",300.0,100.0,-119.17808,34.29475,2020,42.69
Soda Fire,2020-06-10 14:52:42+00:00,San Luis Obispo,"Hwy 58 and Soda Lake Rd, California Valley",1680.0,100.0,-120.00521,35.35146,2020,29.5
Lime Fire,2020-06-10 18:30:38+00:00,Ventura,"Lime Canyon Rd and Piru Canyon Rd, west of Lake Piru     ",803.0,100.0,-118.77347,34.46182,2020,163.19
Skyline Fire,2020-06-11 13:08:40+00:00,San Diego,Skyline Truck Trail,100.0,100.0,-116.7862,32.73044,2020,77.64
Border 7 Fire,2020-06-11 16:57:46+00:00,San Diego,Marron Valley,90.0,100.0,-116.690712,32.580882,2020,49.04
Watt Fire,2020-06-11 18:25:12+00:00,Placer,PFE Rd and Watt Ave,40.0,100.0,-121.378879,38.733421,2020,2.35
Grant Fire,2020-06-12 12:41:17+00:00,Sacramento,Grantline Road and Keifer Blvd,5042.0,100.0,-121.201927,38.520981,2020,115.5
Hog Fire,2020-06-12 17:35:38+00:00,Fresno,E Trimmer Springs Rd and Pine Flat Lake ,533.0,100.0,-119.36572,36.82276,2020,614.92
Cornetts Fire,2020-06-13 14:27:51+00:00,Mariposa,Cornetts Road and Old Highway South,191.0,100.0,-120.08522,37.40827,2020,76.82
Dawson Fire ,2020-06-13 18:32:06+00:00,Riverside,Dawson Canyon Road and Park Canyon Road ,10.0,100.0,-117.461925,33.776033,2020,-10.1
Hopland Fire,2020-06-13 18:52:54+00:00,Mendocino,"Highway 101, southwest of Hopland",34.0,100.0,-80.49163,39.14783,2020,12.72
Drum Fire,2020-06-14 15:03:45+00:00,Santa Barbara,"Drum Canyon Road and Highway 246, west of Buellton",696.0,100.0,-120.28867,34.63309,2020,1571.0967359767892
Avila Fire,2020-06-15 16:44:39+00:00,San Luis Obispo,"Avila Beach Drive and Hwy 101, East of Avila Beach",445.0,100.0,-120.69959,35.17977,2020,86.71
Bitter Fire ,2020-06-16 14:11:55+00:00,San Benito,"Highway 25 and Hernandez-Coalinga Road, North of King City",813.0,100.0,-120.92925,36.3011,2020,125.25
Riata Fire ,2020-06-16 14:44:53+00:00,San Luis Obispo,"5900 Block West Pozo Road near Hwy 58, East of Santa Margarita",18.0,100.0,-120.56823,35.40953,2020,24.24
Walker Fire,2020-06-16 16:58:00+00:00,Calaveras,"Walker Trail Road and Hogan Dam Road, North of Copperopolis",1455.0,100.0,-120.72958,38.07741,2020,98.2
Nelson Fire ,2020-06-17 12:54:12+00:00,Butte,"Nelson Ave and 16th St, Oroville",95.0,100.0,-121.60037,39.52408,2020,6.43
Liberty Fire,2020-06-17 15:49:46+00:00,San Joaquin,"Liberty Rd and Hwy 88, east of Galt",89.0,100.0,-121.20828,38.23432,2020,18.9
Gyle Fire,2020-06-17 16:39:25+00:00,Tehama,"Interstate 5 and Gyle Road, north of Corning",68.0,100.0,-122.205628,40.000132,2020,1571.0967359767892
Ridge Fire,2020-06-17 16:54:46+00:00,Monterey,"Plasket Ridge Road and S Coast Ridge Road, North of Gorda",83.0,100.0,-121.42113,35.9497,2020,112.2
Baker Fire,2020-06-17 20:22:58+00:00,Kern,"Bena Rd and Caliente Bodfish Rd, east of Bakersfield  ",165.0,100.0,-118.6894,35.27678,2020,22.9
Nelson Fire,2020-06-18 16:56:59+00:00,Placer,"Nelson Rd and Rockwell Ln, west of Lincoln",110.0,100.0,-121.33956,38.89178,2020,2.45
Fork Fire,2020-06-18 20:28:41+00:00,Tulare,"South Fork Dr and Salt Creek Fire Control Rd, East of Three Rivers",130.0,100.0,-118.845123,36.37085,2020,94.96
Teddy Fire,2020-06-18 22:33:51+00:00,Butte,"Teddy Lane and Bangor Park Rd., Bangor",13.0,100.0,-121.45372,39.37577,2020,-13.68
Springs Fire,2020-06-19 15:19:44+00:00,Tulare,Hot Springs Dr and M-56,217.0,100.0,-118.8613,35.89133,2020,76.04
Honcut Fire,2020-06-20 14:24:00+00:00,Butte,"Palermo Honcut Hwy and Four Junes Way, south of Palermo",89.0,100.0,-121.53976,39.36894,2020,4.83
East Fire,2020-06-20 17:23:41+00:00,Modoc,County Road 79 and East 19th Street,11.0,100.0,-120.54161,41.5017,2020,1571.0967359767892
Quarter Fire,2020-06-21 11:33:36+00:00,Tuolumne,"Italian Bar Road and Grant Ridge Road, North of Twain Harte",10.0,100.0,-120.20316,38.08264,2020,387.01
Hunter Fire,2020-06-21 16:29:28+00:00,Monterey,"River Road and Interlake Road, South of Lockwood",195.0,100.0,-121.08753,35.90835,2020,98.43
Stage Fire,2020-06-21 21:50:06+00:00,Monterey,"  Old Stage Road and Williams Road, Northeast of Salinas",52.0,100.0,-121.57407,36.69845,2020,21.36
Grade Fire ,2020-06-22 08:16:27+00:00,Tulare,"Boyd Dr and Rd 168, east of Orosi",1050.0,100.0,-119.19677,36.5537,2020,94.38
Rico Fire ,2020-06-22 15:55:55+00:00,Monterey,"Sargents Canyon Rd and Dead Mans Gulch Rd, southeast of San Ardo",348.0,100.0,-120.87858,35.9789,2020,15.18
River Fire,2020-06-22 13:55:00+00:00,San Luis Obispo,"River Road and Creston Road, West of Paso Robles",15.0,100.0,-120.68326,35.62906,2020,19.15
Sycamore Fire,2020-06-23 08:23:48+00:00,Fresno,Sycamore Road and Coyote Drive Southeast of Tollhouse,19.0,100.0,-119.33439,36.97511,2020,81.67
R-2 Fire,2020-06-23 21:12:11+00:00,Lassen,"Highway 395 and Smoke Creek Rod, Northeast of Susanville ",563.0,100.0,-120.28147,40.43203,2020,68.8
R-3 Fire,2020-06-24 07:49:19+00:00,Lassen,Skedaddle Ranch Road and Spencer Basin Road Northeast of Herlong,210.0,100.0,-120.04635,40.44793,2020,58.18
58 Fire,2020-06-24 17:49:08+00:00,Riverside,"Van Buren Street and Avenue 58, Thermal",12.0,100.0,-115.96594,33.27665,2020,61.15
Diablo Fire,2020-06-25 06:47:01+00:00,Stanislaus,Del Puerto Canyon and Diablo Grande,202.0,100.0,-121.18355,37.462650000000004,2020,35.75
Bend Fire,2020-06-25 17:28:46+00:00,San Luis Obispo,"Belmont Trail and Bend Rd, California Valley ",263.0,100.0,-119.88048,35.30742,2020,61.62
Indian Fire,2020-06-26 17:07:51+00:00,Riverside,"Wheeler Rd and Tripp Flats Rd, community of Anza",59.0,100.0,-116.750925,33.565093,2020,1571.0967359767892
Pass Fire,2020-06-28 13:28:53+00:00,Merced,"Hwy 152 and Dinosaur Point Rd, near Santa Nella",2192.0,100.0,-121.21912,37.06641,2020,114.09
Gage Fire,2020-06-28 15:58:46+00:00,San Luis Obispo,Running Deer Rd and Gage Irving Road,33.0,100.0,-120.96759,35.69993,2020,-4.88
Muck Fire ,2020-06-29 12:35:41+00:00,Lassen,"Highway 299 and Muck Valley Road, South of Nubieber ",12.0,100.0,-121.2199939,41.0336731,2020,6.22
Avacado Fire,2020-06-30 15:43:01+00:00,Butte,"Bangor Park Road and Teddy Lane, West of Bangor  ",136.0,100.0,-121.4319,39.3784,2020,75.53
Flat Fire,2020-06-30 17:40:16+00:00,Trinity,"Highway 299W and Mill Creek Road, Southeast of Burnt Ranch  ",62.0,100.0,-123.437051,40.791509,2020,573.75
Bena Fire,2020-07-01 16:32:50+00:00,Kern,"Bena Road and Caliente Bodfish Road, East of Bakersfield",4000.0,100.0,-118.702732,35.310132,2020,38.95
Rowher Fire,2020-07-01 16:43:16+00:00,Los Angeles,"Spring Canyon Road and Anthony Road, North of Santa Clarita ",648.0,100.0,-118.324601,34.542742,2020,90.0
Bonadelle Fire,2020-07-02 15:27:03+00:00,Madera,"Avenue 15 and Road 35, Bonadelle",500.0,100.0,-119.9252132,36.9678542,2020,16.1
Soda Fire ,2020-07-03 14:00:40+00:00,San Luis Obispo,"Soda Lake Rd and Culver City Rd, California Valley",157.0,100.0,-120.053275,35.393889,2020,52.71
Mount R Fire,2020-07-03 16:29:04+00:00,San Bernardino,"Highway 330 and Old City Creek Road, Southwest of Running Springs",62.0,100.0,-117.124353,34.182436,2020,68.97
Sheridan Fire,2020-07-04 15:04:41+00:00,Alameda,"Sheridan Road, south of Sunol in Santa Clara county. ",108.0,100.0,-121.876277,37.536015,2020,27.71
Lake Fire,2020-07-05 07:09:01+00:00,San Luis Obispo,"Hwy 58 and Soda Lake Road, West of McKittrick",583.0,100.0,-120.00485,35.351065,2020,1571.0967359767892
Park Fire,2020-07-04 07:13:22+00:00,Santa Clara,"East Dunne Avenue and Finley Ridge Road, East of Morgan Hill",353.0,100.0,-121.567505,37.166733,2020,60.16
Cotton Fire,2020-07-05 07:30:23+00:00,Merced,"Hwy 152 and Lower Cottonwood Hunting Area, West of Santa Nella  ",100.0,100.0,-121.086625,37.091637,2020,1571.0967359767892
Kings Fire,2020-07-05 14:39:40+00:00,Fresno,"King Canyon Road and Dunlap Road, East of Squaw Valley",67.0,100.0,-119.116536,36.750186,2020,1571.0967359767892
Crews Fire,2020-07-05 14:55:49+00:00,Santa Clara,"Crews Road and Oak Spring Circle, North of Gilroy",5513.0,100.0,-121.501532,37.034839,2020,196.17
Soledad Fire,2020-07-05 17:18:35+00:00,Los Angeles,"Soledad Canyon Road and Agua Dulce Canyon Rd, South of Agua Dulce ",1525.0,100.0,-118.328877,34.467915,2020,121.42
California Fire,2020-07-06 15:32:26+00:00,Contra Costa,California Street and Springwood Street. East of Rodeo,298.0,100.0,-122.25471,38.02996,2020,1571.0967359767892
Patterson Fire,2020-07-06 16:04:20+00:00,San Joaquin,"Hwy 580 and Patterson Pass Rd, west of Tracy",150.0,100.0,-121.53524,37.71984,2020,2.96
Mountain Meadow Fire ,2020-07-06 18:22:56+00:00,Solano,"Mountain Meadows Drive and Cedar Creek Court, Southwest of Fairfield",75.0,100.0,-122.12447,38.21614,2020,65.45
Nail Fire,2020-07-07 17:32:13+00:00,Colusa,"Fouts Springs, Southwest of Stonyford",25.0,100.0,-122.65813,39.35498,2020,45.8
Tripp Fire ,2020-07-09 14:27:09+00:00,Riverside,"Cary Road and Tripp Flats Road, West of Anza ",10.0,100.0,-116.7464168,33.551838,2020,-6.72
Alum Fire,2020-07-11 10:50:33+00:00,Santa Clara,"Mt Hamilton Rd and Crothers Rd, northeast of San Jose",31.0,100.0,-121.79349,37.37731,2020,6.62
Power Fire,2020-07-11 17:57:49+00:00,Madera,"Road 222 and Road 235, South of North Fork",108.0,100.0,-119.50307,37.1487,2020,97.15
Elliot Fire,2020-07-13 12:55:16+00:00,Riverside,"Block Elliot Rd, south of  Winchester",2.0,100.0,-117.108421,33.623968,2020,5.83
Robinson Fire,2020-07-13 15:06:35+00:00,Butte,"Gold Mountain Rd and Stoney Oaks Blvd, northeast of Bangor",33.0,100.0,-121.37994,39.43227,2020,52.04
Casino Fire,2020-07-13 15:08:00+00:00,Riverside,"Hwy 371 and Santos Rd, south of Anza",91.0,100.0,-116.83552,33.48429,2020,39.98
Mineral Fire,2020-07-13 16:40:36+00:00,Fresno,"Hwy 198 and S Coalinga Mineral Springs Rd, west of Coalinga",29667.0,100.0,-120.52193,36.09493,2020,315.01
Coyote Fire,2020-07-15 14:04:08+00:00,San Benito,"Panoche Road and Coyote Creek, West of Panoche",1485.0,100.0,-121.04401,36.653,2020,65.53
Ben Fire,2020-07-15 16:44:16+00:00,Mariposa,"Ben Hur Road and Buckeye Road, South of Mariposa  ",48.0,100.0,-119.95807,37.42319,2020,63.23
Valley Fire ,2020-07-15 17:18:23+00:00,Yuba,"Spenceville Road and Gandry Drive, Southeast of Beale Air Force base ",500.0,100.0,-121.33589,39.10112,2020,1.88
Hollow Fire,2020-07-16 18:14:18+00:00,Alameda,"Tesla Road and McLaughlin Road, Southeast of Livermore",253.0,100.0,-121.59374,37.64044,2020,67.19
Pitzer Fire,2020-07-17 14:59:54+00:00,San Bernardino,"Pitzer Buttes Road and Power line Road,  South of Lucerne Valley ",119.0,100.0,-116.97557,34.39464,2020,77.9
Badger Fire,2020-07-18 17:18:20+00:00,Siskiyou,Badger Mountain Road and Hawkinsville Humbug Road,557.0,100.0,-122.69296,41.79319,2020,241.04
Hog Fire,2020-07-18 17:28:18+00:00,Lassen," Hog Flat Reservoir, West of Susanville",9564.0,100.0,-120.86375,40.420886,2020,723.64
Platina Fire,2020-07-19 17:05:41+00:00,Shasta,"Platina Rd and Big Foot Rd, southwest of Redding",333.0,100.0,-122.792645,40.462621,2020,194.24
Gold Fire,2020-07-20 14:12:25+00:00,Lassen,"Highway 139 and County Road A-2, South of Adin",22614.0,100.0,-120.923293,41.11037,2020,557.14
Milepost 21 Fire,2020-07-20 15:44:53+00:00,Humboldt,"Highway 96 and Deerhorn Rd, southeast of Weitchpec",100.0,100.0,-123.6986222,41.1849445,2020,698.4
Feather Fire,2020-07-20 16:09:57+00:00,Butte,"Feather Ave and 18th Street, Oroville",30.0,100.0,-121.604579,39.506597,2020,22.5
Holland Fire ,2020-07-20 18:04:37+00:00,Contra Costa,"Delta Rd and Holland Tract Rd, northeast of Brentwood",75.0,100.0,-121.620238,37.977309,2020,-6.74
Easton Fire,2020-07-20 19:10:36+00:00,San Bernardino,"Highway 330 and East Highland Avenue, Northeast of San Bernardino",71.0,100.0,-117.192142,34.135626,2020,20.84
Rabbit Fire ,2020-07-20 19:15:32+00:00,Madera,"Road 603 and Road 600, East of Chowchilla",135.0,100.0,-119.932391,37.118075,2020,12.04
July Complex,2020-07-24 07:33:21+00:00,Modoc,"Caldwell Trail and Hill Road, Northwest of Tionesta",83261.0,100.0,-121.477,41.699,2020,654.89
Jack Fire,2020-07-24 17:32:36+00:00,Riverside,"Hwy 60 and Jackrabbit Trail, West of Beaumont",145.0,100.0,-117.033124,33.93327,2020,26.16
Hill Fire,2020-07-24 17:47:17+00:00,Colusa,"Highway 20 and Highway 16, East of Wilbur Springs",138.0,100.0,-122.359663,39.013591,2020,13.33
Karen Fire,2020-07-25 18:16:54+00:00,Riverside,Sierra Avenue and Karen Lane in Riverside County. ,250.0,100.0,-117.429598,34.028116,2020,61.07
Ione Fire ,2020-07-26 12:57:35+00:00,Sacramento,Ione Road at North end of Carbondale road in Sacramento County. ,51.0,100.0,-121.044895,38.420382,2020,-1.53
Cottonwood Fire,2020-07-27 09:28:40+00:00,Merced,"Hwy 152 and Romero Visitors Center, west of Santa Nella",788.0,100.0,-121.101634,37.083806,2020,1571.0967359767892
Adams Fire,2020-07-27 09:35:49+00:00,Lassen,"Scott Rd and Highway 395, south of Doyle",4297.726568589988,99.91242829827915,-120.025872,39.922415,2020,1571.0967359767892
Ridge Fire,2020-07-27 17:19:21+00:00,Los Angeles,Old Ridge Route Rd in the community of Quail Lake,321.0,100.0,-118.72004,34.75844,2020,74.39
Lincoln Fire,2020-07-27 18:50:25+00:00,Humboldt,"Bendixsen Street and Simpson Private Road, Samoa",25.0,100.0,-124.19954,40.78804,2020,86.89
Border 11 Fire,2020-07-28 07:49:02+00:00,San Diego,"Marron Valley Rd and Border Rd, Marron Valley",100.0,100.0,-116.77048,32.62212,2020,1571.0967359767892
Branch Fire,2020-07-28 14:59:38+00:00,San Luis Obispo,"Hwy 58 and Soda Lake Rd, California Valley",3222.0,100.0,-120.00521,35.35146,2020,100.76
Brook Fire,2020-07-29 17:24:17+00:00,San Bernardino,Keenbrook Rd and Cajon Blvd,185.0,100.0,-117.45479,34.25143,2020,61.71
Clay Fire,2020-07-29 18:05:20+00:00,Sacramento,Clay Station Road and Momtoma Lane,741.0,100.0,-121.17197,38.40329,2020,13.36
Rabbit Fire,2020-07-30 14:40:11+00:00,Riverside,Hwy 60 and Jack Rabbit Trail,104.0,100.0,-117.034461,33.934137,2020,18.38
Dam Fire,2020-07-30 15:23:01+00:00,Los Angeles,San Gabriel Canyon Rd and Silverfish Rd Morris Reservoir,220.0,95.0,-117.889503,34.17363,2020,359.05
Sheep Fire,2020-07-30 16:14:47+00:00,Kern,"Comanche Point Rd, south east of Bakersfield ",233.0,100.0,-118.7933,35.14357,2020,16.69
Apple Fire,2020-07-31 18:08:39+00:00,Riverside,"off of Oak Glen Road and Apple Tree Lane, North of Cherry Valley",33424.0,100.0,-116.9617,33.99139,2020,1571.0967359767892
Cowhead Fire,2020-07-31 20:06:14+00:00,Modoc,"Off of County Road 1 and County Road 201, Northeast of Bidwell",4297.726568589988,99.91242829827915,-120.17183,41.52261,2020,1571.0967359767892
Stump Fire,2020-08-01 16:39:21+00:00,Tehama,"Childs Meadow and Highway 89/36, Northeast of Mineral",684.0,100.0,-121.6415,40.34659,2020,1053.76
Castaic Fire,2020-08-01 18:04:58+00:00,Los Angeles,"Main Ramp Road and Lake Hughes Road, South of Castaic Lake  ",178.0,100.0,-118.59699,34.51853,2020,1052.33
Pond Fire,2020-08-01 18:44:52+00:00,San Luis Obispo,"Kata Creek Road and Oak Creek Place, East of Santa Margarita",2005.0,100.0,-120.47346,35.43128,2020,192.54
Water Fire,2020-08-02 15:11:20+00:00,Riverside,Whitewater Canyon Road at the Whitewater Preserve In Riverside County. ,52.0,100.0,-116.641846,33.924086,2020,48.01
North Fire,2020-08-02 16:51:26+00:00,Lassen,"Highway 395 and Highway 70, east of Chilcoot in Lassen County, ",6882.0,100.0,-120.44811,40.36764,2020,186.59
Sites Fire ,2020-08-02 17:13:36+00:00,Colusa,"Sites Lodoga Road and Campground Road, Southeast of Stonyford in Colusa County. ",560.0,100.0,-122.48525,39.31313,2020,62.04
Post Fire,2020-08-02 20:49:07+00:00,Los Angeles,"NB I-5 and High way 138, South of Gorman in Los Angeles County. ",120.0,100.0,-118.21608,34.04447,2020,41.75
Beale Fire,2020-08-02 22:24:59+00:00,Yuba,"Doolittle Dr. and Warren Shingle Road, near Beale Air Force Base in Yuba County. ",600.0,100.0,-121.38178,39.11307,2020,8.95
Elsmere Fire,2020-08-03 15:45:29+00:00,Los Angeles,"Elsmere Grapevine Rd and Santa Clarita Truck Trail, Newhall",200.0,100.0,-118.49731,34.3428,2020,69.78
Stagecoach Fire,2020-08-03 17:33:03+00:00,Kern,Stagecoach Drive and Piute Meadow Road South of Lake Isabella in Kern County. ,7760.0,100.0,-118.53361,35.43044,2020,360.28
166 Fire,2020-08-03 20:27:11+00:00,San Luis Obispo,"Highway 166 and Highway 33, East of Cuyama in San Luis Obispo County",4297.726568589988,99.91242829827915,-119.5795,34.93442,2020,1571.0967359767892
Trimmer Fire,2020-08-04 09:44:14+00:00,Fresno,"Big Creek Rd and Trimmer Springs Rd, Sycamore Flats",594.0,100.0,-119.2439,36.90933,2020,388.65
Pass Fire,2020-08-04 17:18:17+00:00,San Luis Obispo,"Hwy 41, northeast of Shandon",322.0,100.0,-120.40457,35.61521,2020,14.01
Fort Fire,2020-08-06 08:24:00+00:00,Kern,Grapevine Rd and I-5,277.0,100.0,-118.92967,34.93929,2020,22.9
Texas Fire,2020-08-06 15:37:43+00:00,Los Angeles,Texas Canyon Rd and Bouquet Canyon Rd,210.0,100.0,-118.46115,-118.46115,2020,934.74
Mina Fire,2020-08-10 18:31:57+00:00,Mendocino,Hopper Ln and Crawford Rd,177.0,100.0,-123.262437,39.82454,2020,48.72
Duluth Fire,2020-08-10 18:58:13+00:00,Placer,Duluth Ave and Nichols Dr,65.0,100.0,-121.318472,38.81111,2020,19.45
R-1 Fire,2020-08-11 07:37:23+00:00,Lassen,Horse Lake Mountain,285.0,100.0,-120.549595,40.590714,2020,33.14
